,Permutation_Importance,Feature_Source
RSI14_Diff,0.015334870199645129,Engineered
Price_vs_EMA20,0.0011421116057330465,Engineered
Volume,0.0008328508388350721,Original
High_Low_Range,0.0006576861171424496,Engineered
Volatility_Ratio,0.000243736358728373,Engineered
RSI14,0.00022564810045414517,Original
Aroon_Oscillator_25,5.958207082536367e-05,Engineered
MACD,4.4533316909657616e-05,Original
STD_20,4.720796740449382e-06,Original
RSI50,3.438262033039069e-06,Original
Lagged_Return_1d,3.4545980577907476e-07,Engineered
